00OW               20121019                                                                                   
0601OWA0d       20130101012500100000500000 0000272980002141   
0601OWA0d       20130101013000100000500000 0000283860002142   
0601OWA0d       20130101013500100000500000 0000294720002143   
0601OWA0d       20130101014000100000500000 0000305580002144   
0601OWA0d       20130101014500100000500000 0000316430002145   
0601OWA0d       20130101015000100000500000 0000327290002146   
0601OWA0d       20130101015500100000500000 0000338150002147   
0601OWA0d       20130101016000100000500000 0000349000002148   
0601OWA0d       20130101016500100000500000 0000359860002148   
0601OWA0d       20130101017000100000500000 0000370720002149   
0601OWA0d       20130101017500100000500000 0000381570002150   
0601OWA0d       20130101018000100000500000 0000392450002150   
0601OWA0d       20130101018500100000500000 0000403310002151   
0601OWA0d       20130101019000100000500000 0000414170002152   
0601OWA0d       20130101019500100000500000 0000425020002152   
0601OWA1d       20130101000000100000040000 0100000030000150   
0601OWA1d       20130101000040100000005000 0100000030000071   
0601OWA1d       20130101000045100000005000 0100000030000063   
0601OWA1d       20130101000050100000005000 0100000030000057   
0601OWA1d       20130101000055100000005000 0100000030000052   
0601OWA1d       20130101000060100000005000 0100000030000048   
0601OWA1d       20130101000065100000005000 0100000030000044   
0601OWA1d       20130101000070100000005000 0100000030000041   
0601OWA1d       20130101000075100000005000 0100000030000039   
0601OWA1d       20130101000080100000005000 0100000030000036   
0601OWA1d       20130101000085100000005000 0100000030000034   
0601OWA1d       20130101000090100000005000 0100000030000032   
0601OWA1d       20130101000095100000005000 0100000030000031   
0601OWA1d       20130101000100100000005000 0100000030000029   
0601OWA1d       20130101000105100000005000 0100000030000028   
0601OWA1d       20130101000110100000005000 0100000030000027   
0601OWA1d       20130101000115100000005000 0100000030000026   
0601OWA1d       20130101000120100000005000 0100000030000024   
0601OWA1d       20130101000125100000005000 0100000030000024   
0601OWA1d       20130101000130100000005000 0100000030000023   
0601OWA1d       20130101000135100000005000 0100000030000022   
0601OWA1d       20130101000140100000005000 0100000030000021   
0601OWA1d       20130101000145100000005000 0100000030000020   
0601OWA1d       20130101000150100000005000 0100000030000020   
0601OWA1d       20130101000155100000005000 0100000030000019   
0601OWA1d       20130101000160100000005000 0100000030000018   
0601OWA1d       20130101000165100000005000 0100000030000018   
0601OWA1d       20130101000170100000005000 0100000030000017   
0601OWA1d       20130101000175100000005000 0100000030000017   
0601OWA1d       20130101000180100000005000 0100000030000016   
0601OWA1d       20130101000185100000005000 0100000030000016   
0601OWA1d       20130101000190100000005000 0100000030000016   
0601OWA1d       20130101000195100000005000 0100000030000015   
0601OWA1d       20130101000200100000005000 0100000030000015   
0601OWA1d       20130101000205100000005000 0100000030000014   
0601OWA1d       20130101000210100000005000 0100000030000014   
0601OWA1d       20130101000215100000005000 0100000030000014   
0601OWA1d       20130101000220100000005000 0100000030000013   
0601OWA1d       20130101000225100000005000 0100000050000022   
0601OWA1d       20130101000230100000005000 0100000050000022   
0601OWA1d       20130101000235100000005000 0100000050000021   
0601OWA1d       20130101000240100000005000 0100000050000021   
0601OWA1d       20130101000245100000005000 0100000060000024   
0601OWA1d       20130101000250100000005000 0100000060000024   
0601OWA1d       20130101000255100000005000 0100000060000023   
0601OWA1d       20130101000260100000005000 0100000070000027   
0601OWA1d       20130101000265100000005000 0100000070000026   
0601OWA1d       20130101000270100000005000 0100000120000044   
0601OWA1d       20130101000275100000005000 0100000180000065   
0601OWA1d       20130101000280100000005000 0100000240000085   
0601OWA1d       20130101000285100000005000 0100000310000108   
0601OWA1d       20130101000290100000005000 0100000370000126   
0601OWA1d       20130101000295100000005000 0100000430000145   
0601OWA1d       20130101000300100000005000 0100000490000162   
0601OWA1d       20130101000305100000005000 0100000550000179   
0601OWA1d       20130101000310100000005000 0100000610000195   
0601OWA1d       20130101000315100000005000 0100000680000214   
0601OWA1d       20130101000320100000005000 0100000740000229   
0601OWA1d       20130101000325100000005000 0100000800000244   
0601OWA1d       20130101000330100000005000 0100000860000259   
0601OWA1d       20130101000335100000005000 0100000920000273   
0601OWA1d       20130101000340100000005000 0100000980000286   
0601OWA1d       20130101000345100000005000 0100001050000302   
0601OWA1d       20130101000350100000005000 0100001110000315   
0601OWA1d       20130101000355100000005000 0100001170000327   
0601OWA1d       20130101000360100000005000 0100001230000339   
0601OWA1d       20130101000365100000005000 0100001290000351   
0601OWA1d       20130101000370100000005000 0100001340000360   
0601OWA1d       20130101000375100000005000 0100001400000371   
0601OWA1d       20130101000380100000005000 0100001480000387   
0601OWA1d       20130101000385100000005000 0100001540000397   
0601OWA1d       20130101000390100000005000 0100001600000408   
0601OWA1d       20130101000395100000005000 0100001660000418   
0601OWA1d       20130101000400100000005000 0100001720000427   
0601OWA1d       20130101000405100000005000 0100001780000437   
0601OWA1d       20130101000410100000005000 0100001850000448   
0601OWA1d       20130101000415100000005000 0100001910000457   
0601OWA1d       20130101000420100000005000 0100001970000466   
0601OWA1d       20130101000425100000005000 0100002030000475   
0601OWA1d       20130101000430100000005000 0100002090000483   
0601OWA1d       20130101000435100000005000 0100002160000494   
0601OWA1d       20130101000440100000005000 0100002230000504   
0601OWA1d       20130101000445100000005000 0100002300000514   
0601OWA1d       20130101000450100000005000 0100002360000522   
0601OWA1d       20130101000455100000005000 0100002430000531   
0601OWA1d       20130101000460100000005000 0100002510000543   
0601OWA1d       20130101000465100000005000 0100002570000550   
0601OWA1d       20130101000470100000005000 0100002640000559   
0601OWA1d       20130101000475100000005000 0100002720000570   
0601OWA1d       20130101000480100000005000 0100002800000580   
0601OWA1d       20130101000485100000005000 0100002860000587   
0601OWA1d       20130101000490100000005000 0100002940000597   
0601OWA1d       20130101000495100000005000 0100003020000607   
0601OWA1d       20130101000500100000005000 0100003100000617   
0601OWA1d       20130101000505100000005000 0100003170000625   
0601OWA1d       20130101000510100000005000 0100003240000632   
0601OWA1d       20130101000515100000005000 0100003320000642   
0601OWA1d       20130101000520100000005000 0100003390000649   
0601OWA1d       20130101000525100000005000 0100003470000658   
0601OWA1d       20130101000530100000005000 0100003550000667   
0601OWA1d       20130101000535100000005000 0100003630000675   
0601OWA1d       20130101000540100000005000 0100003690000680   
0601OWA1d       20130101000545100000005000 0100003770000689   
0601OWA1d       20130101000550100000005000 0100003850000697   
0601OWA1d       20130101000555100000005000 0100003930000705   
0601OWA1d       20130101000560100000005000 0100004000000711   
0601OWA1d       20130101000565100000005000 0100004070000717   
0601OWA1d       20130101000570100000005000 0100004150000725   
0601OWA1d       20130101000575100000005000 0100004220000731   
0601OWA1d       20130101000580100000005000 0100004290000736   
0601OWA1d       20130101000585100000005000 0100004350000740   
0601OWA1d       20130101000590100000005000 0100004430000748   
0601OWA1d       20130101000595100000005000 0100004500000753   
0601OWA1d       20130101000600100000005000 0100004570000759   
0601OWA1d       20130101000605100000005000 0100004630000762   
0601OWA1d       20130101000610100000005000 0100004700000767   
0601OWA1d       20130101000615100000005000 0100004780000774   
0601OWA1d       20130101000620100000005000 0100004850000779   
0601OWA1d       20130101000625100000005000 0100004920000784   
0601OWA1d       20130101000630100000005000 0100004990000789   
0601OWA1d       20130101000635100000005000 0100005070000795   
0601OWA1d       20130101000640100000005000 0100005130000798   
0601OWA1d       20130101000645100000005000 0100005200000803   
0601OWA1d       20130101000650100000005000 0100005270000808   
0601OWA1d       20130101000655100000005000 0100005340000812   
0601OWA1d       20130101000660100000005000 0100005420000818   
0601OWA1d       20130101000665100000005000 0100005490000822   
0601OWA1d       20130101000670100000005000 0100005550000825   
0601OWA1d       20130101000675100000005000 0100005620000830   
0601OWA1d       20130101000680100000005000 0100005690000834   
0601OWA1d       20130101000685100000005000 0100005770000839   
0601OWA1d       20130101000690100000005000 0100005840000843   
0601OWA1d       20130101000695100000005000 0100005910000847   
0601OWA1d       20130101000700100000005000 0100005980000851   
0601OWA1d       20130101000705100000005000 0100006040000854   
0601OWA1d       20130101000710100000005000 0100006120000859   
0601OWA1d       20130101000715100000005000 0100006190000863   
0601OWA1d       20130101000720100000005000 0100006260000866   
0601OWA1d       20130101000725100000005000 0100006330000870   
0601OWA1d       20130101000730100000005000 0100006400000874   
0601OWA1d       20130101000735100000005000 0100006470000877   
0601OWA1d       20130101000740100000005000 0100006540000881   
0601OWA1d       20130101000745100000005000 0100006610000884   
0601OWA1d       20130101000750100000005000 0100006680000888   
0601OWA1d       20130101000755100000005000 0100006760000892   
0601OWA1d       20130101000760100000005000 0100006830000896   
0601OWA1d       20130101000765100000005000 0100006900000899   
0601OWA1d       20130101000770100000005000 0100006960000901   
0601OWA1d       20130101000775100000005000 0100007030000904   
0601OWA1d       20130101000780100000005000 0100007120000910   
0601OWA1d       20130101000785100000005000 0100007200000914   
0601OWA1d       20130101000790100000005000 0100007280000919   
0601OWA1d       20130101000795100000005000 0100007360000923   
0601OWA1d       20130101000800100000005000 0100007440000927   
0601OWA1d       20130101000805100000005000 0100007540000934   
0601OWA1d       20130101000810100000005000 0100007620000938   
0601OWA1d       20130101000815100000005000 0100007700000942   
0601OWA1d       20130101000820100000005000 0100007780000946   
0601OWA1d       20130101000825100000005000 0100007860000950   
0601OWA1d       20130101000830100000005000 0100007950000955   
0601OWA1d       20130101000835100000005000 0100008030000959   
0601OWA1d       20130101000840100000005000 0100008110000963   
0601OWA1d       20130101000845100000005000 0100008190000966   
0601OWA1d       20130101000850100000005000 0100008280000971   
0601OWA1d       20130101000855100000005000 0100008370000976   
0601OWA1d       20130101000860100000005000 0100008450000980   
0601OWA1d       20130101000865100000005000 0100008530000983   
0601OWA1d       20130101000870100000005000 0100008620000988   
0601OWA1d       20130101000875100000005000 0100008710000993   
0601OWA1d       20130101000880100000005000 0100008790000996   
0601OWA1d       20130101000885100000005000 0100008870000999   
0601OWA1d       20130101000890100000005000 0100008960001004   
0601OWA1d       20130101000895100000005000 0100009040001007   
0601OWA1d       20130101000900100000005000 0100009130001012   
0601OWA1d       20130101000905100000005000 0100009210001015   
0601OWA1d       20130101000910100000005000 0100009300001019   
0601OWA1d       20130101000915100000005000 0100009380001022   
0601OWA1d       20130101000920100000005000 0100009460001025   
0601OWA1d       20130101000925100000005000 0100009550001030   
0601OWA1d       20130101000930100000005000 0100009640001034   
0601OWA1d       20130101000935100000005000 0100009720001037   
0601OWA1d       20130101000940100000005000 0100009800001040   
0601OWA1d       20130101000945100000005000 0100009880001043   
0601OWA1d       20130101000950100000005000 0100009980001048   
0601OWA1d       20130101000955100000005000 0100010060001051   
0601OWA1d       20130101000960100000005000 0100010140001054   
0601OWA1d       20130101000965100000005000 0100010220001056   
0601OWA1d       20130101000970100000005000 0100010310001060   
0601OWA1d       20130101000975100000005000 0100010400001064   
0601OWA1d       20130101000980100000005000 0100010490001068   
0601OWA1d       20130101000985100000005000 0100010570001070   
0601OWA1d       20130101000990100000005000 0100010650001073   
0601OWA1d       20130101000995100000005000 0100010730001076   
0601OWA1d       20130101001000100000005000 0100010830001080   
0601OWA1d       20130101001005100000005000 0100010910001083   
0601OWA1d       20130101001010100000005000 0100010990001085   
0601OWA1d       20130101001015100000005000 0100011070001088   
0601OWA1d       20130101001020100000005000 0100011170001092   
0601OWA1d       20130101001025100000005000 0100011250001095   
0601OWA1d       20130101001030100000005000 0100011330001097   
0601OWA1d       20130101001035100000005000 0100011410001100   
0601OWA1d       20130101001040100000005000 0100011500001103   
0601OWA1d       20130101001045100000005000 0100011590001106   
0601OWA1d       20130101001050100000005000 0100011670001109   
0601OWA1d       20130101001055100000005000 0100011750001111   
0601OWA1d       20130101001060100000005000 0100011850001115   
0601OWA1d       20130101001065100000005000 0100011930001118   
